Rank,Major_code,Major,Major_category,Total,Sample_size,Men,Women,ShareWomen,Employed,Full_time,Part_time,Full_time_year_round,Unemployed,Unemployment_rate,Median,P25th,P75th,College_jobs,Non_college_jobs,Low_wage_jobs
27,5601,CONSTRUCTION SERVICES,Industrial Arts & Consumer Services,18498,295,2662,1385,0.342228811,16318,15690,1751,12313,1042,0.060023041,50000,36000,60000,3275,5351,703
74,3801,MILITARY TECHNOLOGIES,Industrial Arts & Consumer Services,124,4,1756,1323,0.429684963,0,111,0,111,0,,40000,40000,40000,0,0,0
76,5701,"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION",Industrial Arts & Consumer Services,2435,37,1869,566,0.23244353199999998,2107,2057,287,1752,64,0.029479502999999997,38400,22500,45000,221,1659,81
107,5901,TRANSPORTATION SCIENCES AND TECHNOLOGIES,Industrial Arts & Consumer Services,15150,180,2744,1299,0.321296067,12266,11688,2633,9170,962,0.072724524,35000,22000,52000,4575,6147,557
140,4101,PHYSICAL FITNESS PARKS RECREATION AND LEISURE,Industrial Arts & Consumer Services,125074,1014,2049,4434,0.6839426190000001,103078,77428,38515,57978,5593,0.051467273,32000,24000,43000,27581,63946,16838
151,2901,FAMILY AND CONSUMER SCIENCES,Industrial Arts & Consumer Services,58001,518,5347,16226,0.7521438840000001,46624,36747,15872,26906,3355,0.067128194,30000,22900,40000,20985,20133,5248
161,2201,COSMETOLOGY SERVICES AND CULINARY ARTS,Industrial Arts & Consumer Services,10510,117,18616,11591,0.38371900600000003,8650,7662,2064,5949,510,0.055676856,29000,20000,36000,563,7384,3163
